GENERICO,FORMA_FARMACEUTICA,CONTENIDO,DESCRIPCION_ENVASE
CLORURO DE SODIO Y GLUCOSA,SOLUCION INYECTABLE,CADA 100 ML CONTIENEN: CLORURO DE SODIO 0.9 G GLUCOSA ANHIDRA O GLUCOSA 5.0 G O GLUCOSA MONOHIDRATADA EQUIVALENTE A 5.0 G DE GLUCOSA,500 ML. CONTIENE: SODIO 77 ME
CLORURO DE SODIO Y GLUCOSA,SOLUCION INYECTABLE,CADA 100 ML CONTIENEN: CLORURO DE SODIO 0.9 G GLUCOSA ANHIDRA O GLUCOSA 5.0 G O GLUCOSA MONOHIDRATADA EQUIVALENTE A 5.0 G DE GLUCOSA,1 000 ML. CONTIENE: SODIO 15
CLOZAPINA,COMPRIMIDO,CADA COMPRIMIDO CONTIENE: CLOZAPINA 100 MG,30 COMPRIMIDOS
CLOZAPINA,COMPRIMIDO,CADA COMPRIMIDO CONTIENE: CLOZAPINA 100 MG,50 COMPRIMIDOS
COLCHICINA,TABLETA,CADA TABLETA CONTIENE: COLCHICINA 1 MG,30 TABLETAS
"COMPLEJO B. TABLETA, COMPRIMIDO O",CAPSULA,"CADA TABLETA, COMPRIMIDO O CAPSULA CONTIENE: MONONITRATO O CLORHIDRATO DE TIAMINA 100 MG CLORHIDRATO DE PIRIDOXINA 5 MG CIANOCOBALAMINA 50 MICROGRAMOS","30 TABLETAS, COMP"
CROMOGLICATO DE SODIO,SOLUCION OFTALMICA,CADA ML CONTIENE: CROMOGLICATO DE SODIO 40 MG,GOTERO INTEGRAL CON 5 ML
DAPAGLIFLOZINA,TABLETA,CADA TABLETA CONTIENE: DAPAGLIFLOZINA PROPANODIOL EQUIVALENTE A 10 MG DE DAPAGLIFLOZINA,28 TABLETAS
DEXAMETASONA,SOLUCION INYECTABLE,CADA FRASCO AMPULA O AMPOLLETA CONTIENE: FOSFATO SODICO DE DEXAMETASONA EQUIVALENTE A 8 MG DE FOSFATO DE DEXAMETASONA,UN FRASCO AMPULA O AMPOLLETA CON 2 ML
DEXTROMETORFANO,JARABE,CADA 100 ML CONTIENEN: BROMHIDRATO DE DEXTROMETORFANO 300 MG,60 ML Y DOSIFICADOR (15 MG/5 ML)
DIAZEPAM,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: DIAZEPAM 10 MG,50 AMPOLLETAS DE 2 ML
DIAZEPAM,TABLETA,CADA TABLETA CONTIENE: DIAZEPAM 10 MG,20 TABLETAS
DICLOFENACO,CAPSULA O GRAGEA DE LIBERACION PROLONGADA,CADA GRAGEA CONTIENE: DICLOFENACO SODICO 100 MG,20 CAPSULAS O GRAGEAS
DICLOFENACO,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: DICLOFENACO SODICO 75 MG,2 AMPOLLETAS CON 3 ML
DICLOXACILINA,SUSPENSION ORAL,CADA 5 ML CONTIENEN: DICLOXACILINA SODICA 250 MG,POLVO PARA 60 ML Y DOSIFICADOR
DICLOXACILINA CAPSULA O,COMPRIMIDO,CADA CAPSULA O COMPRIMIDO CONTIENE: DICLOXACILINA SODICA 500 MG,20 CAPSULAS O COMPRIMIDOS
DIFENHIDRAMINA,JARABE,CADA 100 MILILITROS CONTIENEN: CLORHIDRATO DE DIFENHIDRAMINA 250 MG,60 ML
DIFENHIDRAMINA,SOLUCION INYECTABLE,CADA FRASCO AMPULA CONTIENE: CLORHIDRATO DE DIFENHIDRAMINA 100 MG,FRASCO AMPULA DE 10 ML
DIFENIDOL,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE DIFENIDOL EQUIVALENTE A 25 MG DE DIFENIDOL,30 TABLETAS
DIFENIDOL,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: CLORHIDRATO DE DIFENIDOL EQUIVALENTE A 40 MG DE DIFENIDOL,2 AMPOLLETAS DE 2 ML
DIGOXINA,TABLETA,CADA TABLETA CONTIENE: DIGOXINA 0.25 MG,20 TABLETAS
DOBUTAMINA,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: CLORHIDRATO DE DOBUTAMINA EQUIVALENTE A 250 MG DE DOBUTAMINA,5 AMPOLLETAS CON 5 ML CADA UNA
DOXICICLINA,TABLETA O CAPSULA,CADA CAPSULA O TABLETA CONTIENE: HICLATO DE DOXICICLINA EQUIVALENTE A 100 MG DE DOXICILINA,10 CAPSULAS O TABLETAS
EMPAGLIFLOZINA,TABLETA,CADA TABLETA CONTIENE: EMPAGLIFLOZINA 25 MG,30 TABLETAS
EMTRICITABINA-TENOFOVIR DISOPROXIL O EMTRICITABINA-TENOFOVIR DISOPROXIL FUMARATO,TABLETA,CADA TABLETA CONTIENE: TENOFOVIR DISOPROXIL SUCCINATO EQUIVALENTE A 245 MG DE TENOFOVIR DISOPROXIL EMTRICITABINA 200 MG,3
ENALAPRIL,TABLETA O CAPSULA,CADA CAPSULA O TABLETA CONTIENE: MALEATO DE ENALAPRIL 10 MG,30 CAPSULAS O TABLETAS
EPINASTINA,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE EPINASTINA 20 MG,10 TABLETAS
ERGOTAMINA Y CAFEINA COMPRIMIDO,GRAGEA O TABLETA,"CADA COMPRIMIDO, GRAGEA O TABLETA CONTIENE: TARTRATO DE ERGOTAMINA 1 MG CAFEINA 100 MG","20 COMPRIMIDOS, GRAGEAS O TABLETAS"
ERITROMICINA,TABLETA O CAPSULA,CADA CAPSULA O TABLETA CONTIENE: ESTEARATO DE ERITROMICINA EQUIVALENTE A 500 MG DE ERITROMICINA,20 CAPSULAS O TABLETAS
ERITROMICINA,SUSPENSION ORAL,CADA 5 ML CONTIENEN: ESTEARATO O ETILSUCCINATO O ESTOLATO DE ERITROMICINA EQUIVALENTE A 250 MG DE ERITROMICINA,POLVO PARA 100 ML Y DOSIFICADOR
ESPIRONOLACTONA,TABLETA,CADA TABLETA CONTIENE: ESPIRONOLACTONA 25 MG,30 TABLETAS
ESTROGENOS CONJUGADOS,GRAGEA O TABLETA,CADA GRAGEA O TABLETA CONTIENE: ESTROGENOS CONJUGADOS DE ORIGEN EQUINO 0.625 MG,42 GRAGEAS O TABLETAS
ESTROGENOS CONJUGADOS,CREMA VAGINAL,CADA 100 G CONTIENE: ESTROGENOS CONJUGADOS DE ORIGEN EQUINO 62.5 MG,43 G Y APLICADOR
ETONOGESTREL,IMPLANTE,CADA CONTIENE: ETONOGESTREL 68.0 MG,UN IMPLANTE Y APLICADOR
EZETIMIBA,TABLETA,CADA TABLETA CONTIENE: EZETIMIBA 10 MG,30 TABLETAS
EZETIMIBA-SIMVASTATINA,COMPRIMIDO,CADA COMPRIMIDO CONTIENE: EZETIMIBA 10 MG SIMVASTATINA 20 MG,14 COMPRIMIDOS
FENAZOPIRIDINA,TABLETA,CADA TABLETA CONTIENE: CLORHIDRATO DE FENAZOPIRIDINA 100 MG,20 TABLETAS
FENILEFRINA,SOLUCION NASAL,CADA ML CONTIENE: CLORHIDRATO DE FENILEFRINA 2.5 MG,GOTERO INTEGRAL CON 15 ML
FENITOINA,TABLETA O CAPSULA,CADA TABLETA O CAPSULA CONTIENE: FENITOINA SODICA 100 MG,50 TABLETAS O CAPSULAS
FENITOINA,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: FENITOINA SODICA 250 MG,UNA AMPOLLETA (250 MG/5 ML)
FENOBARBITAL,TABLETA,CADA TABLETA CONTIENE: FENOBARBITAL 100 MG,20 TABLETAS
FINASTERIDA,GRAGEA O TABLETA RECUBIERTA,CADA GRAGEA O TABLETA RECUBIERTA CONTIENE: FINASTERIDA 5 MG,30 GRAGEAS O TABLETAS RECUBIERTAS
FLUOCINOLONA,CREMA,CADA G CONTIENE: ACETONIDO DE FLUOCINOLONA 0.1 MG,20 G
FLUOXETINA,TABLETA O CAPSULA,CADA CAPSULA O TABLETA CONTIENE: CLORHIDRATO DE FLUOXETINA EQUIVALENTE A 20 MG DE FLUOXETINA,28 CAPSULAS O TABLETAS
